in s,C1 in V
-5.9507514E+00,7.83574E-02
-5.9506596E+00,6.61504E-02
-5.9505678E+00,7.49395E-02
-5.9504760E+00,3.88066E-02
-5.9503842E+00,-3.24824E-02
-5.9502924E+00,-5.78730E-02
-5.9502006E+00,5.29668E-02
-5.9501088E+00,3.63652E-02
-5.9500170E+00,-7.74043E-02
-5.9499252E+00,5.00371E-02
-5.9498334E+00,-7.69160E-02
-5.9497416E+00,7.49395E-02
-5.9496498E+00,4.36895E-02
-5.9495580E+00,-7.88691E-02
-5.9494662E+00,6.56621E-02
-5.9493744E+00,-4.81074E-02
-5.9492826E+00,4.71074E-02
-5.9491908E+00,-7.39863E-02
-5.9490990E+00,7.78691E-02
-5.9490072E+00,-7.78926E-02
-5.9489154E+00,7.64043E-02
-5.9488236E+00,-2.90645E-02
-5.9487318E+00,-7.44746E-02
-5.9486400E+00,-2.07637E-02
-5.9485482E+00,8.37285E-02
-5.9484564E+00,-7.74043E-02
-5.9483646E+00,7.78691E-02
-5.9482728E+00,-6.42207E-02
-5.9481810E+00,6.46855E-02
-5.9480892E+00,7.20703E-04
-5.9479974E+00,1.39043E-02
-5.9479056E+00,-6.47090E-02
-5.9478138E+00,7.64043E-02
-5.9477220E+00,-5.98262E-02
-5.9476302E+00,2.17168E-02
-5.9475384E+00,-7.98457E-02
-5.9474466E+00,8.07988E-02
-5.9473548E+00,6.66387E-02
-5.9472630E+00,7.49395E-02
-5.9471712E+00,2.51348E-02
-5.9470794E+00,-4.42012E-02
-5.9469876E+00,2.95293E-02
-5.9468958E+00,-8.66816E-02
-5.9468040E+00,-7.44746E-02
-5.9467122E+00,7.73809E-02
-5.9466204E+00,-7.74043E-02
-5.9465286E+00,-1.24629E-02
-5.9464368E+00,2.65996E-02
-5.9463450E+00,-5.98262E-02
-5.9462532E+00,7.78691E-02
-5.9461614E+00,-6.91035E-02
-5.9460696E+00,7.00566E-02
-5.9459778E+00,2.36699E-02
-5.9458860E+00,-2.12520E-02
-5.9457942E+00,-4.66426E-02
-5.9457024E+00,-3.49238E-02
-5.9456106E+00,1.43926E-02
-5.9455188E+00,-5.15254E-02
-5.9454270E+00,2.90410E-02
-5.9453352E+00,-7.98457E-02
-5.9452434E+00,4.61309E-02
-5.9451516E+00,-6.47090E-02
-5.9450598E+00,-2.90645E-02
-5.9449680E+00,3.49004E-02
-5.9448762E+00,-6.61738E-02
-5.9447844E+00,5.00371E-02
-5.9446926E+00,-7.44746E-02
-5.9446008E+00,6.37090E-02
-5.9445090E+00,-4.37129E-02
-5.9444172E+00,3.34355E-02
-5.9443254E+00,6.02910E-02
-5.9442336E+00,-5.00605E-02
-5.9441418E+00,7.10332E-02
-5.9440500E+00,-2.66230E-02
-5.9439582E+00,7.24980E-02
-5.9438664E+00,1.58574E-02
-5.9437746E+00,-7.44746E-02
-5.9436828E+00,-8.06836E-03
-5.9435910E+00,5.63848E-02
-5.9434992E+00,4.22246E-02
-5.9434074E+00,-7.74043E-02
-5.9433156E+00,-5.68965E-02
-5.9432238E+00,-2.75996E-02
-5.9431320E+00,-3.98066E-02
-5.9430402E+00,4.71074E-02
-5.9429484E+00,-7.78926E-02
-5.9428566E+00,5.05254E-02
-5.9427648E+00,3.68535E-02
-5.9426730E+00,-7.83809E-02
-5.9425812E+00,2.75762E-02
-5.9424894E+00,-3.78535E-02
-5.9423976E+00,-7.00801E-02
-5.9423058E+00,6.12676E-02
-5.9422140E+00,-8.61934E-02
-5.9421222E+00,5.49199E-02
-5.9420304E+00,-6.32441E-02
-5.9419386E+00,6.46855E-02
-5.9418468E+00,1.34160E-02
-5.9417550E+00,-4.37129E-02
-5.9416632E+00,1.19512E-02
-5.9415714E+00,6.22441E-02
