Time(s),Voltage(V)
-5.9488236,0.00724414
-5.9487318,0.0145684
-5.94864,-0.00545117
-5.9485482,-0.00789258
-5.9484564,0.0126152
-5.9483646,0.0189629
-5.9482728,0.0301934
-5.948181,0.0170098
-5.9480892,0.0140801
-5.9479974,0.0126152
-5.9479056,0.012127
-5.9478138,0.0106621
-5.947722,0.0194512
-5.9476302,-0.0113105
-5.9475384,0.0424004
-5.9474466,0.0228691
-5.9473548,0.0194512
-5.947263,0.012127
-5.9471712,0.0101738
-5.9470794,0.0145684
-5.9469876,0.012127
-5.9468958,0.0135918
-5.946804,0.0135918
-5.9467122,-0.00447461
-5.9466204,0.017498
-5.9465286,-0.00447461
-5.9464368,0.0145684
-5.946345,0.00236133
-5.9462532,-0.00447461
-5.9461614,-8.00781e-05
-5.9460696,0.0082207
-5.9459778,0.00480273
-5.945886,-0.0020332
-5.9457942,-0.00496289
-5.9457024,-8.00781e-05
-5.9456106,0.0375176
-5.9455188,-8.00781e-05
-5.945427,0.00333789
-5.9453352,0.00187305
-5.9452434,0.00773242
-5.9451516,-0.00398633
-5.9450598,-0.00545117
-5.944968,-0.00154492
-5.9448762,0.00431445
-5.9447844,0.00236133
-5.9446926,0.00919727
-5.9446008,-8.00781e-05
-5.944509,-0.0020332
-5.9444172,0.00724414
-5.9443254,-0.0020332
-5.9442336,0.000896484
-5.9441418,0.000896484
-5.94405,0.00333789
-5.9439582,0.00333789
-5.9438664,0.00529102
-5.9437746,0.00236133
-5.9436828,0.00138477
-5.943591,0.00431445
-5.9434992,-0.0113105
-5.9434074,0.00529102
-5.9433156,0.0301934
-5.9432238,0.0140801
-5.943132,0.00284961
-5.9430402,0.00431445
-5.9429484,0.0150566
-5.9428566,0.00529102
-5.9427648,0.00431445
-5.942673,0.00333789
-5.9425812,0.0170098
-5.9424894,-0.00349805
-5.9423976,-0.0020332
-5.9423058,0.00187305
-5.942214,-0.00545117
-5.9421222,-0.00105664
-5.9420304,-0.00105664
-5.9419386,0.00382617
-5.9418468,0.0082207
-5.941755,-0.00300977
-5.9416632,0.0301934
-5.9415714,0.00236133
-5.9414796,0.0150566
-5.9413878,0.00626758
-5.941296,-0.00642773
-5.9412042,0.000408203
-5.9411124,-0.00300977
-5.9410206,-0.00838086
-5.9409288,-0.0152168
-5.940837,-0.0181465
-5.9407452,-0.00789258
-5.9406534,-0.0142402
-5.9405616,-0.0127754
-5.9404698,0.0165215
-5.940378,-0.0098457
-5.9402862,0.000408203
-5.9401944,-0.0235176
-5.9401026,-0.0161934
-5.9400108,0.00480273
-5.939919,-0.0279121
-5.9398272,-0.0196113
-5.9397354,-0.0376777
-5.9396436,0.00284961
-5.9395518,-0.0108223
-5.93946,-0.0122871
-5.9393682,-0.034748
-5.9392764,-0.0308418
-5.9391846,0.00870898
-5.9390928,-0.0147285
-5.939001,-0.0391426
-5.9389092,-0.013752
-5.9388174,-0.0157051
-5.9387256,-0.0157051
-5.9386338,-0.00300977
-5.938542,-0.00300977
-5.9384502,0.000408203
-5.9383584,-0.0147285
-5.9382666,-0.0215645
-5.9381748,-0.0279121
-5.938083,-0.0264473
-5.9379912,-0.0132637
-5.9378994,-0.029377
-5.9378076,0.0131035
-5.9377158,-0.00398633
-5.937624,-0.00154492
-5.9375322,-0.0181465
-5.9374404,-0.0220527
-5.9373486,-0.0249824
-5.9372568,-0.0157051
-5.937165,-0.0357246
-5.9370732,-0.0196113
-5.9369814,-0.025959
-5.9368896,-0.0200996
-5.9367978,-0.0210762
-5.936706,-0.0235176
-5.9366142,-0.0127754
-5.9365224,-0.00398633
-5.9364306,0.000408203
-5.9363388,-0.00593945
-5.936247,-0.00545117
-5.9361552,0.00480273
-5.9360634,-0.0113105
-5.9359716,-0.00398633
-5.9358798,0.00236133
-5.935788,-0.00252148
-5.9356962,-8.00781e-05
-5.9356044,-0.00691602
-5.9355126,-0.022541
-5.9354208,-0.0157051
-5.935329,0.0189629
-5.9352372,-0.0074043
-5.9351454,-0.0098457
-5.9350536,-0.00349805
-5.9349618,-0.0108223
-5.93487,-0.00300977
-5.9347782,-0.00349805
-5.9346864,0.0116387
-5.9345946,-0.0113105
-5.9345028,-0.00398633
-5.934411,0.000408203
-5.9343192,-0.00154492
-5.9342274,-8.00781e-05
-5.9341356,-0.00496289
-5.9340438,-0.0127754
-5.933952,-0.000568359
-5.9338602,-0.00496289
-5.9337684,-0.00935742
-5.9336766,-0.00789258
-5.9335848,-0.00105664
-5.933493,-0.00838086
-5.9334012,-0.00593945
-5.9333094,-0.00496289
-5.9332176,-0.00300977
-5.9331258,0.0179863
-5.933034,-0.0196113
-5.9329422,-0.00691602
-5.9328504,-0.00349805
-5.9327586,0.0057793
-5.9326668,-0.00398633
-5.932575,-0.00349805
-5.9324832,-0.0200996
-5.9323914,-0.00545117
-5.9322996,-0.0020332
-5.9322078,-0.0117988
-5.932116,0.0218926
-5.9320242,-0.00300977
-5.9319324,0.0111504
-5.9318406,0.0111504
-5.9317488,-0.00642773
-5.931657,-0.00886914
-5.9315652,0.00382617
-5.9314734,-0.00545117
-5.9313816,-0.00691602
-5.9312898,0.024334
-5.931198,-8.00781e-05
-5.9311062,0.0106621
-5.9310144,0.00236133
-5.9309226,0.00138477
-5.9308308,0.00773242
-5.930739,0.0126152
-5.9306472,-0.0127754
-5.9305554,0.0082207
-5.9304636,0.00675586
-5.9303718,-0.00300977
-5.93028,0.00138477
-5.9301882,0.00138477
-5.9300964,0.00724414
-5.9300046,0.0135918
-5.9299128,0.0155449
-5.929821,0.012127
-5.9297292,0.0131035
-5.9296374,0.00431445
